hour,day_of_week,is_weekend,weather_severity,rolling_origin_delay,prev_delay,congestion_score,carrier_avg_delay,route_avg_delay,actual,pred,prob
19,3,0,28.9,15.83,-9.0,0.8941176470588235,11.401605024424285,14.67871485943775,0,1,0.7780736758159514
19,3,0,28.9,15.83,-9.0,0.8941176470588235,11.401605024424285,14.67871485943775,0,1,0.7780736758159514
19,3,0,28.9,15.83,-9.0,0.8941176470588235,11.401605024424285,14.67871485943775,0,1,0.7780736758159514
19,3,0,28.9,15.79,-2.0,0.8941176470588235,11.401605024424285,9.858288770053475,0,1,0.6624838187501234
19,3,0,28.9,15.79,-2.0,0.8941176470588235,11.401605024424285,9.858288770053475,0,1,0.6624838187501234
19,3,0,28.9,15.79,-2.0,0.8941176470588235,11.401605024424285,9.858288770053475,0,1,0.6624838187501234
19,3,0,28.9,15.86,0.0,0.8941176470588235,11.401605024424285,4.037037037037037,0,1,0.751966712114978
19,3,0,28.9,15.86,0.0,0.8941176470588235,11.401605024424285,4.037037037037037,0,1,0.751966712114978
19,3,0,28.9,15.86,-6.0,0.8941176470588235,0.5218480378513777,8.436936936936936,0,1,0.5516939042906305
19,3,0,28.9,15.86,-6.0,0.8941176470588235,0.5218480378513777,8.436936936936936,0,1,0.5516939042906305
21,3,0,28.9,16.69,2.0,0.6485294117647059,11.401605024424285,7.26984126984127,0,1,0.7945789540481187
21,3,0,28.9,16.685,-6.0,0.6485294117647059,11.401605024424285,7.620915032679738,0,1,0.6915897287049484
21,3,0,28.9,16.685,-6.0,0.6485294117647059,11.401605024424285,7.620915032679738,0,1,0.6915897287049484
21,3,0,28.9,16.655,16.0,0.6485294117647059,0.5218480378513777,15.70668485675307,0,1,0.816550534435292
21,3,0,28.9,16.655,16.0,0.6485294117647059,0.5218480378513777,15.70668485675307,0,1,0.816550534435292
21,3,0,28.9,15.97,-3.0,0.6485294117647059,11.401605024424285,9.349693251533742,0,1,0.7420505935668364
10,5,1,10.45,8.135,-1.0,0.4568014705882353,24.57894736842105,7.149425287356322,0,1,0.5654599257024298
10,5,1,10.45,8.135,-1.0,0.4568014705882353,24.57894736842105,7.149425287356322,0,1,0.5654599257024298
19,1,0,9.9,24.265,84.0,0.8049632352941176,11.401605024424285,14.67871485943775,0,1,0.5261042460657728
19,1,0,9.9,24.265,84.0,0.8049632352941176,11.401605024424285,14.67871485943775,0,1,0.5261042460657728
19,1,0,9.9,24.265,84.0,0.8049632352941176,11.401605024424285,14.67871485943775,0,1,0.5261042460657728
21,1,0,9.9,27.76,111.0,0.5476102941176471,11.401605024424285,7.620915032679738,0,1,0.5205561978833905
21,1,0,9.9,27.76,111.0,0.5476102941176471,11.401605024424285,7.620915032679738,0,1,0.5205561978833905
13,2,0,59.1,2.905,127.0,0.640120880181441,7.467465753424658,32.84126984126984,0,1,0.5188228497041322
15,2,0,59.1,2.455,-10.0,0.7460032331226174,7.467465753424658,23.315625,0,1,0.5203747057447229
