is_delayed,delay_prob,uncertainty,predicted_congestion,is_anomaly,buffer_minutes,risk,risk_level,action,buffer_conservative,buffer_balanced,buffer_aggressive
0,0.2513186779120395,0.0635311573863812,0.64701325,0,0.7056445,0.287552948290967,low,Safe — proceed normally,0.8,0.7,0.6
0,0.2513186779120395,0.06386716355386268,0.64701325,0,0.7056445,0.28762014952446335,low,Safe — proceed normally,0.8,0.7,0.6
0,0.2513186779120395,0.06419789628822666,0.64701325,0,0.7056445,0.2876862960713361,low,Safe — proceed normally,0.8,0.7,0.6
0,0.23529909448031913,0.06443580180448291,0.58933705,0,-1.1907915,0.2661060156057313,low,Safe — proceed normally,-1.4,-1.2,-1.0
0,0.23529909448031913,0.0646661457280042,0.58933705,0,-1.1907915,0.2661520843904356,low,Safe — proceed normally,-1.4,-1.2,-1.0
0,0.2172215724267547,0.06061905026794679,0.58933705,0,-1.219079,0.25720778037432007,low,Safe — proceed normally,-1.5,-1.2,-1.0
0,0.2172215724267547,0.0606055547736981,0.58933705,0,-1.219079,0.25720508127547037,low,Safe — proceed normally,-1.5,-1.2,-1.0
0,0.24438586678873406,0.060916641318834175,0.58933705,0,-1.3969419,0.26949123104738826,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.24438586678873406,0.06079098186587642,0.58933705,0,-1.3969419,0.2694660991567967,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.24438586678873406,0.061083394619858365,0.58933705,0,-1.3969419,0.2695245817075931,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.24438586678873406,0.06138520307160082,0.58933705,0,-1.3969419,0.2695849433979416,low,Safe — proceed normally,-1.7,-1.4,-1.1
1,0.21387627806173254,0.06123262580427863,0.58933705,0,-1.5136734,0.25582511301732647,low,Safe — proceed normally,-1.8,-1.5,-1.2
1,0.21387627806173254,0.06111580869212647,0.58933705,0,-1.5136734,0.25580174959489604,low,Safe — proceed normally,-1.8,-1.5,-1.2
1,0.21387627806173254,0.060301877479165635,0.58933705,0,-1.5136734,0.25563896335230385,low,Safe — proceed normally,-1.8,-1.5,-1.2
1,0.21387627806173254,0.05942904171407552,0.58933705,0,-1.5136734,0.25546439619928585,low,Safe — proceed normally,-1.8,-1.5,-1.2
0,0.188284662780855,0.05853064487975119,0.58933705,0,-1.6368695,0.2437684899560261,low,Safe — proceed normally,-2.0,-1.6,-1.3
0,0.188284662780855,0.05759455306298794,0.58933705,0,-1.6368695,0.24358127159267345,low,Safe — proceed normally,-2.0,-1.6,-1.3
0,0.188284662780855,0.05753571315126852,0.58933705,0,-1.6368695,0.24356950361032959,low,Safe — proceed normally,-2.0,-1.6,-1.3
0,0.188284662780855,0.05747639524649544,0.58933705,0,-1.6368695,0.24355764002937497,low,Safe — proceed normally,-2.0,-1.6,-1.3
0,0.202967247228998,0.057359198879529776,0.58933705,0,-1.7062292,0.2501413637576462,low,Safe — proceed normally,-2.0,-1.7,-1.4
0,0.202967247228998,0.05723819980398076,0.58933705,0,-1.7062292,0.25011716394253636,low,Safe — proceed normally,-2.0,-1.7,-1.4
0,0.202967247228998,0.05607322862957449,0.58933705,0,-1.7062292,0.24988416970765512,low,Safe — proceed normally,-2.0,-1.7,-1.4
0,0.202967247228998,0.054841037443955985,0.58933705,0,-1.7062292,0.24963773147053142,low,Safe — proceed normally,-2.0,-1.7,-1.4
1,0.24860543894148313,0.05377275994360691,0.58933705,0,-1.7062292,0.2699612622410799,low,Safe — proceed normally,-2.0,-1.7,-1.4
0,0.22367880187366687,0.05236227212157629,0.58933705,0,-1.8083212,0.25846217799615645,low,Safe — proceed normally,-2.2,-1.8,-1.4
0,0.165623291259868,0.05135963051182434,0.56746,0,-1.3785288,0.22666740729805152,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.18275244354580494,0.05003259302482176,0.56746,0,-1.4135925,0.2341101183293226,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.18275244354580494,0.04864440772200182,0.56746,0,-1.4135925,0.2338324812687586,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.18778285224621788,0.04711697878749214,0.56746,0,-1.4135925,0.2357906793970425,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.18778285224621788,0.04696924135994554,0.56746,0,-1.4135925,0.2357611319115332,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.24554154964887714,0.045389350998274715,0.56746,0,-1.4176391,0.2614365676703957,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.24554154964887714,0.04551868220805379,0.56746,0,-1.4176391,0.2614624339123515,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.3699881490953687,0.05004779189954949,0.56746,0,-1.5708594,0.3183692256015719,medium,Be careful — allow extra buffer,-1.9,-1.6,-1.3
0,0.3699881490953687,0.0535862326297739,0.56746,0,-1.5708594,0.3190769137476167,medium,Be careful — allow extra buffer,-1.9,-1.6,-1.3
0,0.19068805830868782,0.05372293328703301,0.56746,0,-1.6572175,0.23841921302506214,low,Safe — proceed normally,-2.0,-1.7,-1.3
1,0.29706437381443535,0.05424986520268315,0.56746,0,-1.5668128,0.28639394138577856,low,Safe — proceed normally,-1.9,-1.6,-1.3
1,0.29706437381443535,0.05411665238870836,0.56746,0,-1.5668128,0.2863672988229836,low,Safe — proceed normally,-1.9,-1.6,-1.3
0,0.3001249022730309,0.051612945241763596,0.56746,0,-1.3901109,0.2872437951999627,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.3001249022730309,0.05250117688814018,0.56746,0,-1.3901109,0.287421441529238,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.1780270929579248,0.052757720931719536,0.56746,0,-1.3977084,0.2325287361461561,low,Safe — proceed normally,-1.7,-1.4,-1.1
0,0.2135487267850682,0.05234770106579047,0.3606475,0,-6.223638,0.19672834215676624,low,Safe — proceed normally,-7.5,-6.2,-5.0
0,0.2135487267850682,0.05192729864047436,0.35059056,0,-6.223638,0.19413002599636808,low,Safe — proceed normally,-7.5,-6.2,-5.0
0,0.2135487267850682,0.05198100339681459,0.33352035,0,-6.223638,0.18987321594274953,low,Safe — proceed normally,-7.5,-6.2,-5.0
0,0.14746706138587304,0.05338750910810944,0.33299235,0,-6.223638,0.16028576571893494,low,Safe — proceed normally,-7.5,-6.2,-5.0
0,0.14746706138587304,0.05447758511202188,0.3524753,0,-6.223638,0.16537451602856984,low,Safe — proceed normally,-7.5,-6.2,-5.0
0,0.14746706138587304,0.05553005172879831,0.35615292,0,-6.223638,0.1665044184481661,low,Safe — proceed normally,-7.5,-6.2,-5.0
0,0.13589517319808467,0.056913877860062474,0.35615292,0,-6.223638,0.16157383398991418,low,Safe — proceed normally,-7.5,-6.2,-5.0
0,0.13589517319808467,0.05593389248827215,0.35615292,0,-6.223638,0.16137783691555613,low,Safe — proceed normally,-7.5,-6.2,-5.0
