hour,day_of_week,is_weekend,weather_severity,rolling_origin_delay,prev_delay,congestion_score,carrier_avg_delay,route_avg_delay,actual,pred,prob
9,0,0,4.85,11.225,-6.0,0.8115808823529412,0.5218480378513777,8.436936936936936,1,0,0.0412340576425803
9,0,0,4.85,12.97,401.0,0.8115808823529412,11.401605024424285,7.620915032679738,1,0,0.16974985670010692
9,0,0,4.85,13.605,-2.0,0.8115808823529412,11.401605024424285,8.662162162162161,1,0,0.06177753802482318
9,0,0,4.85,13.605,-2.0,0.8115808823529412,11.401605024424285,8.662162162162161,1,0,0.06177753802482318
10,0,0,4.85,13.665,6.0,0.4786764705882352,24.57894736842105,7.149425287356322,1,0,0.1289637998590873
10,0,0,4.85,13.665,6.0,0.4786764705882352,24.57894736842105,7.149425287356322,1,0,0.1289637998590873
11,0,0,4.85,13.46,-3.0,0.569485294117647,0.5218480378513777,-13.345238095238097,1,0,0.03587749176534245
11,0,0,4.85,13.46,-3.0,0.569485294117647,0.5218480378513777,-13.345238095238097,1,0,0.03587749176534245
11,0,0,4.85,13.615,1.0,0.569485294117647,0.5218480378513777,2.127891156462585,1,0,0.0871068394649344
11,0,0,4.85,13.615,1.0,0.569485294117647,0.5218480378513777,2.127891156462585,1,0,0.0871068394649344
12,0,0,4.85,13.95,-3.0,0.6384191176470588,11.401605024424285,-0.7538461538461538,1,0,0.0692265147244315
13,0,0,4.85,14.48,4.0,0.5946691176470589,11.401605024424285,9.349693251533742,1,0,0.10494979965650163
14,0,0,4.85,14.745,-7.0,0.6602941176470588,11.401605024424285,17.70921985815603,1,0,0.10010132268757062
14,0,0,4.85,14.865,42.0,0.6602941176470588,0.5218480378513777,8.436936936936936,1,0,0.0778837169063467
14,0,0,4.85,15.165,-3.0,0.6602941176470588,11.401605024424285,9.573684210526316,1,0,0.23981677712998042
14,0,0,4.85,15.165,-3.0,0.6602941176470588,11.401605024424285,9.573684210526316,1,0,0.23981677712998042
14,0,0,4.85,15.165,-3.0,0.6602941176470588,11.401605024424285,9.573684210526316,1,0,0.23981677712998042
14,0,0,4.85,15.165,-3.0,0.6602941176470588,11.401605024424285,9.573684210526316,1,0,0.23981677712998042
14,0,0,4.85,15.165,-3.0,0.6602941176470588,11.401605024424285,9.573684210526316,1,0,0.23981677712998042
