run,gate,destination,terminal,walking_speed,congestion,stay_minutes,gate_change,trip_time,buffer,safe
789,GATE_D2,SHAKE_SHACK_T7,7,1.02,1.02,7,False,14.45,35,True
790,GATE_A1,RESTROOM_T8,8,1.54,1.15,6,False,8.77,35,True
791,GATE_A2,RESTROOM_T8,8,1.59,1.03,10,True,11.27,35,True
792,GATE_D2,RESTROOM_T7,7,1.67,1.05,13,False,14.8,35,True
793,GATE_C2,STARBUCKS_T5,5,1.48,0.92,20,False,23.91,35,True
794,GATE_A3,RESTROOM_T8,8,1.55,1.36,11,False,12.87,35,True
795,GATE_D1,RESTROOM_T7,7,1.6,1.18,7,False,11.06,35,True
796,GATE_A1,STARBUCKS_T8,8,1.27,1.29,7,False,17.21,35,True
797,GATE_A2,STARBUCKS_T8,8,1.62,1.09,10,False,15.31,35,True
798,GATE_A3,STARBUCKS_T8,8,1.55,1.15,8,False,12.39,35,True
799,GATE_B1,RESTROOM_T4,4,1.73,0.88,12,False,13.98,35,True
800,GATE_C2,DUNKIN_T5,5,0.82,1.39,5,False,20.0,35,True
801,GATE_C3,STARBUCKS_T5,5,1.55,0.88,8,False,10.32,35,True
802,GATE_C1,STARBUCKS_T5,5,1.23,1.21,11,False,19.84,35,True
803,GATE_A2,STARBUCKS_T8,8,1.8,1.5,5,False,11.59,35,True
804,GATE_B2,STARBUCKS_T4,4,1.4,1.31,19,False,24.3,35,True
805,GATE_A3,RESTROOM_T8,8,1.31,1.25,14,False,16.05,35,True
806,GATE_A2,RESTROOM_T8,8,1.35,0.9,8,False,9.3,35,True
807,GATE_D1,SHAKE_SHACK_T7,7,1.76,1.3,6,False,13.78,35,True
808,GATE_D1,RESTROOM_T7,7,1.53,1.35,19,True,23.88,35,True
809,GATE_C2,RESTROOM_T5,5,1.06,1.5,17,False,21.02,35,True
810,GATE_C3,RESTROOM_T5,5,1.75,0.97,16,False,17.85,35,True
811,GATE_A2,RESTROOM_T8,8,1.49,0.89,18,False,19.16,35,True
812,GATE_C2,DUNKIN_T5,5,1.73,1.11,20,False,25.73,35,True
813,GATE_A3,STARBUCKS_T8,8,1.52,1.42,16,False,21.52,35,True
814,GATE_B2,RESTROOM_T4,4,1.25,1.17,16,False,17.97,35,True
815,GATE_C3,RESTROOM_T5,5,1.47,1.49,14,False,17.38,35,True
816,GATE_A1,RESTROOM_T8,8,1.5,1.33,14,False,17.31,35,True
817,GATE_B1,MC_DONALDS_T4,4,1.08,1.05,7,False,20.22,35,True
818,GATE_A3,STARBUCKS_T8,8,1.46,1.29,16,True,21.23,35,True
819,GATE_B2,MC_DONALDS_T4,4,1.36,1.0,15,False,23.06,35,True
820,GATE_D2,RESTROOM_T7,7,1.96,1.41,13,False,15.06,35,True
821,GATE_B1,MC_DONALDS_T4,4,1.54,1.41,5,False,17.44,35,True
822,GATE_B3,STARBUCKS_T4,4,1.67,1.41,19,True,22.56,35,True
823,GATE_B2,RESTROOM_T4,4,1.73,1.45,14,False,15.76,35,True
824,GATE_B1,RESTROOM_T4,4,1.53,0.99,19,False,21.52,35,True
825,GATE_A3,STARBUCKS_T8,8,1.33,1.16,9,False,14.15,35,True
826,GATE_C2,STARBUCKS_T5,5,1.5,1.37,7,False,12.76,35,True
827,GATE_B2,MC_DONALDS_T4,4,0.81,0.9,17,False,29.21,35,True
828,GATE_B1,MC_DONALDS_T4,4,1.33,0.88,17,False,25.99,35,True
829,GATE_A1,RESTROOM_T8,8,1.08,1.27,18,False,22.38,35,True
830,GATE_A3,STARBUCKS_T8,8,1.6,1.07,15,True,18.95,35,True
831,GATE_C1,STARBUCKS_T5,5,1.58,1.41,20,False,28.02,35,True
832,GATE_B2,STARBUCKS_T4,4,0.91,1.01,8,False,14.23,35,True
833,GATE_D2,SHAKE_SHACK_T7,7,1.27,0.96,12,False,17.66,35,True
834,GATE_A1,RESTROOM_T8,8,1.95,1.45,10,False,12.77,35,True
835,GATE_A3,RESTROOM_T8,8,1.82,0.98,5,False,6.14,35,True
836,GATE_B3,RESTROOM_T4,4,1.47,1.42,12,False,14.72,35,True
837,GATE_C3,RESTROOM_T5,5,1.45,1.07,14,True,16.46,35,True
838,GATE_D2,SHAKE_SHACK_T7,7,1.7,1.5,17,False,23.56,35,True
839,GATE_C3,RESTROOM_T5,5,1.11,0.82,10,False,12.46,35,True
840,GATE_A1,STARBUCKS_T8,8,1.32,1.23,19,False,28.33,35,True
841,GATE_D2,SHAKE_SHACK_T7,7,1.41,1.32,17,False,24.0,35,True
842,GATE_C2,STARBUCKS_T5,5,1.15,0.83,10,False,14.55,35,True
843,GATE_C3,DUNKIN_T5,5,1.07,1.05,17,False,22.9,35,True
844,GATE_D2,SHAKE_SHACK_T7,7,1.32,1.48,8,True,16.36,35,True
845,GATE_C1,STARBUCKS_T5,5,1.67,1.03,18,False,23.56,35,True
846,GATE_D1,RESTROOM_T7,7,1.98,1.29,14,False,17.59,35,True
847,GATE_B1,STARBUCKS_T4,4,1.81,0.82,7,False,10.53,35,True
848,GATE_C3,RESTROOM_T5,5,1.28,1.19,9,False,12.09,35,True
849,GATE_D1,RESTROOM_T7,7,1.53,0.86,7,False,10.08,35,True
850,GATE_D2,RESTROOM_T7,7,1.74,1.35,14,False,16.22,35,True
851,GATE_A1,STARBUCKS_T8,8,1.19,0.85,15,True,22.15,35,True
852,GATE_C3,RESTROOM_T5,5,1.72,1.32,18,False,20.56,35,True
853,GATE_C2,DUNKIN_T5,5,1.41,1.12,19,False,26.06,35,True
854,GATE_C3,STARBUCKS_T5,5,1.38,1.31,16,False,19.86,35,True
855,GATE_C2,STARBUCKS_T5,5,1.71,1.2,14,False,18.43,35,True
856,GATE_D2,RESTROOM_T7,7,1.3,1.33,10,False,12.91,35,True
857,GATE_A2,STARBUCKS_T8,8,1.63,1.04,15,False,20.04,35,True
858,GATE_B1,RESTROOM_T4,4,1.26,1.17,18,False,21.61,35,True
859,GATE_B1,STARBUCKS_T4,4,1.44,1.48,6,False,13.95,35,True
860,GATE_B3,RESTROOM_T4,4,1.32,1.21,20,False,22.58,35,True
861,GATE_A3,STARBUCKS_T8,8,1.26,1.04,10,False,14.91,35,True
862,GATE_A3,RESTROOM_T8,8,1.56,1.39,7,True,8.9,35,True
863,GATE_C3,RESTROOM_T5,5,1.62,1.15,15,False,17.36,35,True
864,GATE_A3,RESTROOM_T8,8,1.38,1.41,7,False,9.19,35,True
865,GATE_A1,RESTROOM_T8,8,1.46,0.97,18,False,20.46,35,True
866,GATE_B1,RESTROOM_T4,4,0.63,1.45,20,False,28.92,35,True
867,GATE_C3,DUNKIN_T5,5,1.37,1.27,6,False,11.57,35,True
868,GATE_D2,SHAKE_SHACK_T7,7,1.31,1.13,13,False,19.43,35,True
869,GATE_D1,RESTROOM_T7,7,1.23,1.4,9,True,15.26,35,True
870,GATE_C2,STARBUCKS_T5,5,1.27,1.48,20,False,27.35,35,True
871,GATE_D1,RESTROOM_T7,7,1.45,1.17,8,False,12.46,35,True
872,GATE_A3,RESTROOM_T8,8,1.0,0.97,6,False,8.08,35,True
873,GATE_A2,RESTROOM_T8,8,1.36,1.33,20,False,21.89,35,True
874,GATE_A2,STARBUCKS_T8,8,1.28,1.22,10,True,17.48,35,True
875,GATE_A1,RESTROOM_T8,8,1.35,1.06,10,False,12.93,35,True
